log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f555w,a2d7,cont#50180",Z,eps,"wfpc2,2,f814w,a2d7,cont#50180"
1.24,0.825,1.0,5.216993,4.628412,4.95723,4.463131,0.01068781,6.534328,1.6507887479795669,8.150765527530778,3.5729340502166674e-06,9.864611817608205e-09,0.0,EB,18.41263119319665 VEGAMAG,0.005,0.1,19.580666356021126 VEGAMAG
1.24,0.875,1.0,5.217715,4.739318,4.956645,4.447345,0.01330108,6.539035,1.6567149832449686,9.95912079507791,3.566884117357029e-06,1.3852558727051948e-08,0.0,EB,18.40161607026775 VEGAMAG,0.005,0.1,19.573733746028054 VEGAMAG
1.24,0.925,1.0,5.218261,4.852366,4.956338,4.415028,0.01555598,6.540653,1.6621472676107192,13.16364010082034,3.559549199000309e-06,1.6218138317189835e-08,0.0,EB,18.392787810853697 VEGAMAG,0.005,0.1,19.567075093302442 VEGAMAG
1.24,0.775,1.1,5.217601,4.518083,4.956971,4.46839,0.01250267,6.53828,1.6548445347423353,7.006741575100565,3.568937971996467e-06,6.385369007493765e-09,0.0,EB,18.405824517068524 VEGAMAG,0.005,0.1,19.575725980656596 VEGAMAG
1.24,0.825,1.1,5.218617,4.628292,4.955467,4.46309,0.01777536,6.544635,1.666298870758468,8.151165292138502,3.553562841941928e-06,9.855848067052331e-09,0.0,EB,18.382078660350732 VEGAMAG,0.005,0.1,19.563100002874183 VEGAMAG
1.24,0.875,1.1,5.219356,4.739187,4.954489,4.447324,0.02114954,6.548672,1.6783842676293752,9.958575035022935,3.539190992673069e-06,1.3841781838294832e-08,0.0,EB,18.35963337297191 VEGAMAG,0.005,0.1,19.549321749243393 VEGAMAG
1.24,0.925,1.1,5.219787,4.852253,4.953541,4.414989,0.02384512,6.551315,1.685699663032115,13.164276634640563,3.528726508729474e-06,1.6203133118264268e-08,0.0,EB,18.34333057247833 VEGAMAG,0.005,0.1,19.5418150547046 VEGAMAG
1.24,0.675,1.2,5.217587,4.287188,4.957103,4.463757,0.01226874,6.538046,1.6544467746677372,5.487034615571137,3.56954613977778e-06,2.252257283274676e-09,0.0,EB,18.40709163292839 VEGAMAG,0.005,0.1,19.57605319507251 VEGAMAG
1.24,0.725,1.2,5.217244,4.403131,4.954291,4.468526,0.01674558,6.542278,1.6648373095715776,6.134350687103728,3.555821896804024e-06,3.8758057260109636e-09,0.0,EB,18.375816396021285 VEGAMAG,0.005,0.1,19.567335508403158 VEGAMAG
1.24,0.775,1.2,5.218966,4.517943,4.955073,4.468355,0.01932237,6.546836,1.6725480372875985,7.006772229043151,3.5464512960994304e-06,6.3794171266558714e-09,0.0,EB,18.371285331210686 VEGAMAG,0.005,0.1,19.555702216939036 VEGAMAG
1.24,0.825,1.2,5.219831,4.62818,4.953507,4.463065,0.02403522,6.551563,1.6854175040044468,8.151069572066904,3.528629007759832e-06,9.848634039139346e-09,0.0,EB,18.343440907411082 VEGAMAG,0.005,0.1,19.542247190034633 VEGAMAG
1.24,0.875,1.2,5.220488,4.739086,4.951851,4.447293,0.02726649,6.556863,1.6980352435681547,9.958824980243518,3.5134518003453717e-06,1.3831204417475164e-08,0.0,EB,18.315730044350744 VEGAMAG,0.005,0.1,19.528514368849745 VEGAMAG
1.24,0.925,1.2,5.221431,4.85214,4.950285,4.414949,0.03203593,6.560887,1.7159984846515275,13.16500413955342,3.4882531894798285e-06,1.618769451360442e-08,0.0,EB,18.28329266236372 VEGAMAG,0.005,0.1,19.505312933915636 VEGAMAG
1.24,0.625,1.3,5.218277,4.167546,4.955758,4.45539,0.01660458,6.542864,1.6649576836116555,4.968788373154244,3.556853681864586e-06,1.248469680988723e-09,0.0,EB,18.385681899080954 VEGAMAG,0.005,0.1,19.564354983330045 VEGAMAG
1.24,0.675,1.3,5.219391,4.286968,4.95478,4.463695,0.02096252,6.548841,1.674604292124711,5.487216553430589,3.543790177079917e-06,2.2488164010291957e-09,0.0,EB,18.36658142215684 VEGAMAG,0.005,0.1,19.55360380504138 VEGAMAG
1.24,0.725,1.3,5.220653,4.402875,4.952377,4.46846,0.02778787,6.55547,1.6987352546619072,6.134439674395181,3.5107265205248887e-06,3.8690647692870094e-09,0.0,EB,18.3182519011866 VEGAMAG,0.005,0.1,19.52699869311228 VEGAMAG
1.24,0.775,1.3,5.22158,4.517682,4.950174,4.468279,0.03172332,6.562918,1.7167292230905615,7.007122338847365,3.488799408227064e-06,6.367720609260873e-09,0.0,EB,18.281618107869406 VEGAMAG,0.005,0.1,19.50434437558203 VEGAMAG
1.24,0.825,1.3,5.222323,4.627952,4.948001,4.462995,0.03668839,6.566174,1.7353037288403768,8.151550060629233,3.4642960608332e-06,9.832455736719708e-09,0.0,EB,18.240259104214665 VEGAMAG,0.005,0.1,19.482124055646896 VEGAMAG
1.24,0.875,1.3,5.222733,4.73891,4.946835,4.447242,0.03799644,6.569638,1.7443783986950616,9.95916665862968,3.454204137151277e-06,1.3813476716660825e-08,0.0,EB,18.218305279452903 VEGAMAG,0.005,0.1,19.47058710458416 VEGAMAG
1.24,0.925,1.3,5.222906,4.852015,4.946154,4.414901,0.03973731,6.570133,1.7511369016520049,13.166004524455486,3.44474437784715e-06,1.6169701399178354e-08,0.0,EB,18.203466097596255 VEGAMAG,0.005,0.1,19.46120017775769 VEGAMAG
1.24,0.575,1.4,5.218268,4.041422,4.955864,4.444572,0.01619721,6.542031,1.6645172489717242,4.516738006190175,3.5571321513458788e-06,6.558628018517346e-10,0.0,EB,18.38690897649746 VEGAMAG,0.005,0.1,19.564746306951143 VEGAMAG
1.24,0.625,1.4,5.220149,4.167307,4.952977,4.455328,0.02502906,6.554376,1.6915961965829875,4.968842146417994,3.52225666827664e-06,1.2464073461305784e-09,0.0,EB,18.331534154137927 VEGAMAG,0.005,0.1,19.53532140785547 VEGAMAG
1.24,0.675,1.4,5.221616,4.286698,4.949858,4.463626,0.0322784,6.562944,1.718472552646712,5.487241823054851,3.4870726853098103e-06,2.2447294273587e-09,0.0,EB,18.277185878137665 VEGAMAG,0.005,0.1,19.50205663085606 VEGAMAG
1.24,0.725,1.4,5.222248,4.402691,4.948098,4.468413,0.03688275,6.565471,1.737533153413129,6.134456624501817,3.4613777685486345e-06,3.864310366486266e-09,0.0,EB,18.238384545581017 VEGAMAG,0.005,0.1,19.47924876072844 VEGAMAG
1.24,0.775,1.4,5.222623,4.517569,4.946553,4.468251,0.03782588,6.570211,1.7460710027159476,7.007098137145997,3.4515883939991485e-06,6.3630304274635025e-09,0.0,EB,18.213548099886005 VEGAMAG,0.005,0.1,19.468147875327833 VEGAMAG
1.24,0.825,1.4,5.223282,4.627865,4.944712,4.462972,0.04158474,6.572867,1.7630198415249192,8.151604492760166,3.427330612177477e-06,9.826684214454974e-09,0.0,EB,18.174552226417127 VEGAMAG,0.005,0.1,19.444406569250642 VEGAMAG
1.24,0.875,1.4,5.22399,4.738818,4.943175,4.447204,0.04398498,6.57792,1.7781782753152906,9.95984775723048,3.4107744418505667e-06,1.3802793796641946e-08,0.0,EB,18.139535224481765 VEGAMAG,0.005,0.1,19.428583004285407 VEGAMAG
1.24,0.925,1.4,5.224158,4.851909,4.940766,4.414856,0.0458728,6.580681,1.795441668317869,13.167126258531075,3.387505429726024e-06,1.6154034274427804e-08,0.0,EB,18.091395541322207 VEGAMAG,0.005,0.1,19.41253876351954 VEGAMAG
1.24,0.525,1.5,5.218761,3.907311,4.955394,4.431316,0.01825841,6.54556,1.6692473675059532,4.1141744236117,3.552204826277769e-06,3.232436484486039e-10,0.0,EB,18.37775107522876 VEGAMAG,0.005,0.1,19.559390832249267 VEGAMAG
1.24,0.575,1.5,5.220206,4.041129,4.952482,4.444497,0.0258933,6.554324,1.6935327516867105,4.516766086746188,3.519119381867721e-06,6.545291605747889e-10,0.0,EB,18.325616309376215 VEGAMAG,0.005,0.1,19.53352347468067 VEGAMAG
1.24,0.625,1.5,5.22184,4.167093,4.949373,4.455272,0.0338277,6.563882,1.7230405569609513,4.968890199614146,3.4796855526155185e-06,1.2445833880907626e-09,0.0,EB,18.26766737982172 VEGAMAG,0.005,0.1,19.496227941317905 VEGAMAG
1.24,0.675,1.5,5.222084,4.286585,4.946718,4.463594,0.03699306,6.569534,1.7387141959960843,5.487341639208362,3.457673647571744e-06,2.242967599070337e-09,0.0,EB,18.22426951502312 VEGAMAG,0.005,0.1,19.477528287766653 VEGAMAG
1.24,0.725,1.5,5.223719,4.402537,4.943121,4.468369,0.04301766,6.576305,1.7769454675396377,6.134603527387865,3.410766588261222e-06,3.860237274794764e-09,0.0,EB,18.140450144057017 VEGAMAG,0.005,0.1,19.430226860050762 VEGAMAG
1.24,0.775,1.5,5.224081,4.517437,4.942097,4.46821,0.04512239,6.579743,1.7908169652234105,7.007351452428253,3.3940559714472646e-06,6.356967630195161e-09,0.0,EB,18.112167726146858 VEGAMAG,0.005,0.1,19.41565562416647 VEGAMAG
1.24,0.825,1.5,5.224446,4.627754,4.939756,4.462943,0.04870022,6.581045,1.8065891598937736,8.151666433213359,3.375025045451968e-06,9.819197604748512e-09,0.0,EB,18.066373068366218 VEGAMAG,0.005,0.1,19.399768481843076 VEGAMAG
1.24,0.875,1.5,5.224809,4.738725,4.938292,4.447183,0.04983659,6.585837,1.823049664079725,9.95971015779914,3.3594640653404477e-06,1.3794469395759121e-08,0.0,EB,18.02910576253826 VEGAMAG,0.005,0.1,19.379100042021854 VEGAMAG
1.24,0.925,1.5,5.225216,4.851886,4.936655,4.414797,0.05218391,6.58714,1.8292678433757708,13.170340404195732,3.349307330667085e-06,1.6141987252274234e-08,0.0,EB,18.000873301656068 VEGAMAG,0.005,0.1,19.370942236372258 VEGAMAG
1.24,0.475,1.6,5.218378,3.763929,4.95581,4.415661,0.01674925,6.543658,1.6650991534003958,3.748875346699944,3.5568782518242484e-06,1.4803452005558016e-10,0.0,EB,18.385818505598138 VEGAMAG,0.005,0.1,19.564080215712423 VEGAMAG
1.24,0.525,1.6,5.220526,3.907019,4.952429,4.431241,0.0271289,6.55629,1.6955148583693282,4.114195264785224,3.5166488125875105e-06,3.2256259179072637e-10,0.0,EB,18.322720082424862 VEGAMAG,0.005,0.1,19.531052237902053 VEGAMAG
1.24,0.575,1.6,5.221765,4.040915,4.949568,4.444443,0.03269909,6.563752,1.721884434054692,4.5167868872706025,3.479990032275147e-06,6.535457578418576e-10,0.0,EB,18.270701678690266 VEGAMAG,0.005,0.1,19.497728120298884 VEGAMAG
1.24,0.625,1.6,5.223146,4.166931,4.946022,4.45523,0.03933609,6.572477,1.752923244517231,4.968919947063697,3.440883747922531e-06,1.2431799579747294e-09,0.0,EB,18.199986824205723 VEGAMAG,0.005,0.1,19.458720098203322 VEGAMAG
1.24,0.675,1.6,5.224077,4.286413,4.942454,4.46355,0.04468671,6.578597,1.7839324276108008,5.487373226976925,3.4048422861820416e-06,2.240350662642111e-09,0.0,EB,18.124555156878714 VEGAMAG,0.005,0.1,19.423251067028527 VEGAMAG
1.24,0.725,1.6,5.224687,4.4024,4.93804,4.468333,0.05023186,6.584014,1.8226202871824464,6.134661441992438,3.3582111558302403e-06,3.8566302200136405e-09,0.0,EB,18.026456109352814 VEGAMAG,0.005,0.1,19.37939315593084 VEGAMAG
1.24,0.775,1.6,5.225089,4.517326,4.937005,4.468179,0.05127581,6.5874,1.8349692887012845,7.007451490284898,3.343913233371668e-06,6.35225611527947e-09,0.0,EB,17.99857455514367 VEGAMAG,0.005,0.1,19.36424600332739 VEGAMAG
1.24,0.825,1.6,5.225636,4.627638,4.933384,4.462908,0.05621076,6.590369,1.867011529975032,8.151884167026282,3.309908590021042e-06,9.811197089399402e-09,0.0,EB,17.915178603549457 VEGAMAG,0.005,0.1,19.330634032196045 VEGAMAG
1.24,0.875,1.6,5.225998,4.738656,4.933489,4.447158,0.0555573,6.593703,1.8651295377816748,9.96009544099748,3.3138816940644194e-06,1.3786911887139292e-08,0.0,EB,17.91871152457395 VEGAMAG,0.005,0.1,19.33259707549394 VEGAMAG
1.24,0.925,1.6,5.226446,4.851782,4.931342,4.41481,0.05850974,6.594536,1.889120235346273,13.167975201899411,3.287660774051088e-06,1.6136487281190334e-08,0.0,EB,17.86366866048918 VEGAMAG,0.005,0.1,19.30895757228393 VEGAMAG
1.24,0.425,1.7,5.217757,3.611489,4.957295,4.397002,0.01240814,6.537811,1.6558294403370069,3.4276691837035465,3.567878035367583e-06,6.23921569758618e-11,0.0,EB,18.40637658930826 VEGAMAG,0.005,0.1,19.57394361189463 VEGAMAG
1.24,0.475,1.7,5.219872,3.763634,4.95294,4.415587,0.02501251,6.553099,1.6895844349592564,3.7488848420269054,3.5241549888362903e-06,1.4771547658288896e-10,0.0,EB,18.33385539658433 VEGAMAG,0.005,0.1,19.537960059058218 VEGAMAG
1.24,0.525,1.7,5.221973,3.906786,4.949055,4.431184,0.0337725,6.565471,1.7260771366652472,4.114182949533563,3.476362047879868e-06,3.220342028356489e-10,0.0,EB,18.261242975890543 VEGAMAG,0.005,0.1,19.492450474281856 VEGAMAG
1.24,0.575,1.7,5.22313,4.040704,4.945918,4.444385,0.03973645,6.572763,1.7516571251926776,4.516890891329537,3.440218286359969e-06,6.525593248947766e-10,0.0,EB,18.20055617640771 VEGAMAG,0.005,0.1,19.46002602112955 VEGAMAG
1.24,0.625,1.7,5.224058,4.166773,4.941649,4.455189,0.04584996,6.579743,1.788938456009942,4.9689599919885525,3.3973399022401844e-06,1.2418438760452803e-09,0.0,EB,18.10933762917349 VEGAMAG,0.005,0.1,19.418879611233084 VEGAMAG
1.24,0.675,1.7,5.225028,4.286288,4.938614,4.463512,0.0509859,6.584848,1.815221805892464,5.48753243209817,3.3655883833297625e-06,2.238401560933273e-09,0.0,EB,18.042439664488718 VEGAMAG,0.005,0.1,19.388813906497028 VEGAMAG
1.24,0.725,1.7,5.22592,4.402271,4.932352,4.468298,0.05694717,6.59214,1.8703410250094896,6.134732070298941,3.3049888602719314e-06,3.853301575091815e-09,0.0,EB,17.898160447907905 VEGAMAG,0.005,0.1,19.3288151814526 VEGAMAG
1.24,0.775,1.7,5.226539,4.517233,4.931583,4.468154,0.05747451,6.59537,1.880043941629692,7.007528939928937,3.295793553990702e-06,6.348205836047458e-09,0.0,EB,17.877201711434843 VEGAMAG,0.005,0.1,19.318946598440057 VEGAMAG
1.24,0.825,1.7,5.226763,4.627581,4.928515,4.462891,0.06045345,6.597974,1.90637880102115,8.151976142539262,3.269301697751354e-06,9.807221858500269e-09,0.0,EB,17.80733157099312 VEGAMAG,0.005,0.1,19.29524342573842 VEGAMAG
1.24,0.875,1.7,5.227245,4.738606,4.92875,4.447138,0.06192508,6.599433,1.904989121646997,9.960446336877892,3.271048624435774e-06,1.3781325804458656e-08,0.0,EB,17.81201461355363 VEGAMAG,0.005,0.1,19.29620784879892 VEGAMAG
1.24,0.925,1.7,5.227228,4.85176,4.926733,4.414778,0.0622292,6.601308,1.9219009435802368,13.169612604398145,3.253254206447789e-06,1.6129280697703022e-08,0.0,EB,17.765901179679368 VEGAMAG,0.005,0.1,19.282318781737597 VEGAMAG
