log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.26,0.825,2.0,5.267549,4.684592,4.981446,4.468272,0.0113287,7.031478,1.5484996088845355,8.491931846483947,4.1712863090037434e-06,1.295081202978014e-08,0.0,EB
1.26,0.725,2.1,5.267386,4.462574,4.981097,4.475052,0.01142327,7.031793,1.5479456212060447,6.37440422116736,4.170777288755328e-06,5.225826658339963e-09,0.0,EB
1.26,0.825,2.1,5.267807,4.684582,4.980664,4.468274,0.01388455,7.033591,1.5550512260415907,8.491746091256648,4.161711782062068e-06,1.29505138297461e-08,0.0,EB
1.26,0.875,2.1,5.268439,4.794255,4.980918,4.450898,0.01441038,7.035958,1.5570806223412514,10.437151800528145,4.162047189920106e-06,1.7872363959633857e-08,0.0,EB
1.26,0.675,2.2,5.267823,4.346741,4.981345,4.470972,0.01217891,7.033611,1.550400500837086,5.684377346244263,4.1695578137278936e-06,3.0620339388159735e-09,0.0,EB
1.26,0.725,2.2,5.268408,4.462514,4.980357,4.475036,0.01622391,7.035904,1.5579675221493505,6.37441743102837,4.157191206752184e-06,5.223865661943307e-09,0.0,EB
1.26,0.775,2.2,5.268357,4.576017,4.980177,4.474256,0.01587848,7.03661,1.5597062053009232,7.290404074729501,4.15435877530075e-06,8.497927077555348e-09,0.0,EB
1.26,0.825,2.2,5.26794,4.684615,4.981132,4.468288,0.0128166,7.033489,1.5516783477767817,8.491532966580381,4.167148718783551e-06,1.2954331308774616e-08,0.0,EB
1.26,0.875,2.2,5.268814,4.794249,4.979807,4.4509,0.01772336,7.039595,1.565349071574324,10.436935510897921,4.147687234320156e-06,1.7872940105863777e-08,0.0,EB
1.26,0.925,2.2,5.267587,4.904878,4.981377,4.417886,0.01146342,7.031946,1.5483256197167083,13.801141226002338,4.172391000549428e-06,2.0623672331406797e-08,0.0,EB
1.26,0.575,2.3,5.267839,4.10246,4.981538,4.452512,0.01163703,7.033028,1.5498465468303844,4.671580102562187,4.171209471778059e-06,9.111523507948848e-10,0.0,EB
1.26,0.625,2.3,5.267406,4.228044,4.98044,4.463028,0.01238254,7.033869,1.54967526092552,5.1430719498784985,4.170767685196771e-06,1.717275602888972e-09,0.0,EB
1.26,0.675,2.3,5.268631,4.346645,4.979915,4.470945,0.01717765,7.038943,1.5612882813023565,5.684462423837442,4.152503431394196e-06,3.060074500970153e-09,0.0,EB
1.26,0.725,2.3,5.268001,4.462552,4.980336,4.475049,0.01482682,7.035361,1.5568149734869534,6.374323494833779,4.158876270593619e-06,5.225393491513242e-09,0.0,EB
1.26,0.775,2.3,5.269295,4.575976,4.979623,4.474244,0.01902496,7.040124,1.5664671794696055,7.290462828681357,4.1442600564121885e-06,8.495677147432005e-09,0.0,EB
1.26,0.825,2.3,5.269545,4.684516,4.979422,4.46825,0.02030472,7.04106,1.572668180944418,8.492029614025144,4.137128401172362e-06,1.2944789720405745e-08,0.0,EB
1.26,0.875,2.3,5.269211,4.794246,4.979964,4.450896,0.01873343,7.040707,1.565927676568514,10.437127768125661,4.145433951544001e-06,1.787219934983657e-08,0.0,EB
1.26,0.525,2.4,5.267957,3.968821,4.981503,4.439561,0.01210714,7.033191,1.5502348649761302,4.251544215093939,4.17003787944548e-06,4.539959723426408e-10,0.0,EB
1.26,0.575,2.4,5.267855,4.102437,4.980756,4.452507,0.01339909,7.034561,1.5546212509006865,4.67155213519807,4.162785182362674e-06,9.110327723104741e-10,0.0,EB
1.26,0.625,2.4,5.268067,4.228072,4.982146,4.463035,0.01161525,7.033191,1.5492842290652808,5.143081423775866,4.171238285571822e-06,1.7176236053871492e-09,0.0,EB
1.26,0.675,2.4,5.269572,4.346579,4.978867,4.470927,0.02125636,7.042905,1.5718134474339647,5.684502999753419,4.133795612743291e-06,3.0587782964996694e-09,0.0,EB
1.26,0.725,2.4,5.26727,4.462521,4.97817,4.475041,0.01656881,7.037186,1.5613450833217368,6.374333769037639,4.150964316406792e-06,5.2243708789707495e-09,0.0,EB
1.26,0.775,2.4,5.269404,4.575949,4.97858,4.47424,0.02208782,7.041928,1.5756857231096588,7.290357071908937,4.12831663919215e-06,8.49462086404637e-09,0.0,EB
1.26,0.825,2.4,5.268317,4.684562,4.979746,4.468271,0.01670058,7.037037,1.5611912193432442,8.491656148080352,4.151929781471453e-06,1.2949589453274736e-08,0.0,EB
1.26,0.875,2.4,5.268052,4.794304,4.981042,4.450918,0.01331451,7.035368,1.5533263160048438,10.436791320301214,4.165546626006161e-06,1.7880184671633028e-08,0.0,EB
1.26,0.925,2.4,5.268099,4.904834,4.980933,4.417879,0.01392244,7.03452,1.5548410568081188,13.800855224247316,4.162871449760494e-06,2.061797458735871e-08,0.0,EB
1.26,0.475,2.5,5.267442,3.825639,4.981415,4.424137,0.0112308,7.031481,1.5478151741824633,3.8708282326309007,4.173053955899746e-06,2.1006272742309278e-10,0.0,EB
1.26,0.525,2.5,5.268763,3.968698,4.980435,4.439528,0.0167168,7.037804,1.5613159630409954,4.25158239448046,4.152905033498052e-06,4.5360621883366816e-10,0.0,EB
1.26,0.575,2.5,5.268279,4.102419,4.980931,4.452501,0.01437911,7.035769,1.5555808925525232,4.671595161981446,4.1624688838653384e-06,9.109111120666318e-10,0.0,EB
1.26,0.625,2.5,5.268067,4.228028,4.981018,4.463024,0.01343811,7.035334,1.5522744171909768,5.14308497649188,4.166841683230652e-06,1.7171055818583392e-09,0.0,EB
1.26,0.675,2.5,5.269785,4.346562,4.978622,4.470924,0.02207851,7.044153,1.5770443252024897,5.684482057309008,4.127632278297101e-06,3.0585036280375624e-09,0.0,EB
1.26,0.725,2.5,5.269027,4.462484,4.979983,4.475027,0.01852763,7.039079,1.5634971718462198,6.374461464096114,4.146789593604848e-06,5.223011715689016e-09,0.0,EB
1.26,0.775,2.5,5.269392,4.575921,4.977618,4.47423,0.02336056,7.043828,1.578411731000513,7.290467864756405,4.123414558950776e-06,8.493036685205902e-09,0.0,EB
1.26,0.825,2.5,5.268569,4.684577,4.980715,4.468274,0.01573657,7.035965,1.5576540190620105,8.491697208977433,4.1586943274099935e-06,1.2950841850161199e-08,0.0,EB
1.26,0.875,2.5,5.268311,4.79429,4.980668,4.450914,0.01472558,7.036121,1.5551532775665522,10.436791320301214,4.163446611434999e-06,1.7878990762741202e-08,0.0,EB
1.26,0.925,2.5,5.26804,4.904821,4.9801,4.417871,0.01474855,7.036142,1.5560093416868894,13.801173004340976,4.160380000522001e-06,2.0615600991949845e-08,0.0,EB
1.26,0.475,2.6,5.268507,3.825501,4.980551,4.424101,0.01597162,7.036284,1.5587013085439034,3.870849623677332,4.156798761530504e-06,2.0985581123201988e-10,0.0,EB
1.26,0.525,2.6,5.268953,3.96862,4.979046,4.439508,0.01941679,7.040924,1.5676102698533096,4.2516019737860296,4.141188506546567e-06,4.53360835503405e-10,0.0,EB
1.26,0.575,2.6,5.268593,4.102366,4.980297,4.452488,0.01619696,7.037885,1.5605385445563353,4.671591934958947,4.154971029345753e-06,9.105839685714165e-10,0.0,EB
1.26,0.625,2.6,5.268391,4.228001,4.980892,4.463018,0.01438221,7.036338,1.5558592277683478,5.143062475998581,4.162881035137275e-06,1.7168051207385161e-09,0.0,EB
1.26,0.675,2.6,5.269995,4.346529,4.978057,4.470914,0.02314972,7.045836,1.5821399613798182,5.684512162097111,4.121098548468126e-06,3.057834667044587e-09,0.0,EB
1.26,0.725,2.6,5.269456,4.462428,4.978689,4.475016,0.02095853,7.042118,1.574294941558499,6.374363123997059,4.133738502640863e-06,5.221304241941854e-09,0.0,EB
1.26,0.775,2.6,5.269127,4.575892,4.976002,4.474222,0.02502828,7.04513,1.5815127590850304,7.290513189588388,4.117949344550907e-06,8.491531011332884e-09,0.0,EB
1.26,0.825,2.6,5.268554,4.684556,4.980378,4.468271,0.0164312,7.037207,1.5599385833598944,8.491593579476106,4.152675541825856e-06,1.2949678906178586e-08,0.0,EB
1.26,0.875,2.6,5.268759,4.794258,4.980042,4.450901,0.01694436,7.038496,1.5602266796445687,10.437055671250238,4.1575358233491966e-06,1.7874915605373798e-08,0.0,EB
1.26,0.925,2.6,5.268851,4.90477,4.979122,4.417841,0.01938899,7.040605,1.5663734022533449,13.802253511393408,4.142475990897337e-06,2.0605065527939287e-08,0.0,EB
1.24,0.825,1.0,5.216993,4.628412,4.95723,4.463131,0.01068781,6.534328,1.6507887479795669,8.150765527530778,3.5729340502166674e-06,9.864611817608205e-09,0.0,EB
1.24,0.875,1.0,5.217715,4.739318,4.956645,4.447345,0.01330108,6.539035,1.6567149832449686,9.95912079507791,3.5668841173570294e-06,1.3852558727051948e-08,0.0,EB
1.24,0.925,1.0,5.218261,4.852366,4.956338,4.415028,0.01555598,6.540653,1.6621472676107192,13.16364010082034,3.559549199000309e-06,1.6218138317189835e-08,0.0,EB
1.24,0.775,1.1,5.217601,4.518083,4.956971,4.46839,0.01250267,6.53828,1.6548445347423353,7.006741575100565,3.568937971996467e-06,6.385369007493765e-09,0.0,EB
1.24,0.825,1.1,5.218617,4.628292,4.955467,4.46309,0.01777536,6.544635,1.666298870758468,8.151165292138502,3.5535628419419277e-06,9.85584806705233e-09,0.0,EB
1.24,0.875,1.1,5.219356,4.739187,4.954489,4.447324,0.02114954,6.548672,1.6783842676293752,9.958575035022935,3.539190992673069e-06,1.384178183829483e-08,0.0,EB
1.24,0.925,1.1,5.219787,4.852253,4.953541,4.414989,0.02384512,6.551315,1.685699663032115,13.164276634640565,3.528726508729474e-06,1.6203133118264268e-08,0.0,EB
1.24,0.675,1.2,5.217587,4.287188,4.957103,4.463757,0.01226874,6.538046,1.6544467746677372,5.487034615571137,3.5695461397777796e-06,2.2522572832746762e-09,0.0,EB
1.24,0.725,1.2,5.217244,4.403131,4.954291,4.468526,0.01674558,6.542278,1.6648373095715776,6.134350687103728,3.5558218968040237e-06,3.8758057260109636e-09,0.0,EB
1.24,0.775,1.2,5.218966,4.517943,4.955073,4.468355,0.01932237,6.546836,1.6725480372875983,7.006772229043151,3.5464512960994304e-06,6.379417126655871e-09,0.0,EB
1.24,0.825,1.2,5.219831,4.62818,4.953507,4.463065,0.02403522,6.551563,1.6854175040044468,8.151069572066904,3.5286290077598316e-06,9.848634039139346e-09,0.0,EB
1.24,0.875,1.2,5.220488,4.739086,4.951851,4.447293,0.02726649,6.556863,1.6980352435681547,9.958824980243518,3.5134518003453713e-06,1.3831204417475165e-08,0.0,EB
1.24,0.925,1.2,5.221431,4.85214,4.950285,4.414949,0.03203593,6.560887,1.7159984846515277,13.16500413955342,3.4882531894798285e-06,1.618769451360442e-08,0.0,EB
1.24,0.625,1.3,5.218277,4.167546,4.955758,4.45539,0.01660458,6.542864,1.6649576836116555,4.9687883731542435,3.556853681864586e-06,1.248469680988723e-09,0.0,EB
1.24,0.675,1.3,5.219391,4.286968,4.95478,4.463695,0.02096252,6.548841,1.674604292124711,5.4872165534305894,3.5437901770799172e-06,2.2488164010291957e-09,0.0,EB
1.24,0.725,1.3,5.220653,4.402875,4.952377,4.46846,0.02778787,6.55547,1.6987352546619072,6.134439674395181,3.5107265205248887e-06,3.8690647692870094e-09,0.0,EB
