log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.24,0.875,1.0,5.217154,4.900128,4.957477,4.518939,0.01036706,6.534634,1.650503311434348,8.618659038669525,3.574489288708088e-06,4.1842921534578975e-08,0.0,EB
1.24,0.925,1.0,5.216955,4.981083,4.957498,4.506687,0.01001463,6.533644,1.6498493879840108,10.009698583328733,3.5739214247830955e-06,5.5052620984265455e-08,0.0,EB
1.24,0.975,1.0,5.217945,5.065813,4.956714,4.484564,0.01449993,6.538176,1.6590287035501108,12.218812485217109,3.563395276689113e-06,6.804292897855665e-08,0.0,EB
1.24,0.825,1.1,5.218062,4.819488,4.95668,4.524765,0.01434382,6.540103,1.6586215356853742,7.6466585877304984,3.5630506824765135e-06,3.05393648171371e-08,0.0,EB
1.24,0.875,1.1,5.21846,4.899916,4.956583,4.518931,0.01557757,6.542031,1.6609363888469477,8.616962441437469,3.562386202026013e-06,4.1810754045201586e-08,0.0,EB
1.24,0.925,1.1,5.218825,4.980807,4.955744,4.506152,0.01823216,6.544088,1.6694053462878078,10.031179457583802,3.550234172923643e-06,5.4798541550627336e-08,0.0,EB
1.24,0.975,1.1,5.219458,5.065146,4.954318,4.484646,0.02255539,6.547988,1.681554315795816,12.204949871195478,3.5333527735155094e-06,6.788877933945604e-08,0.0,EB
1.24,0.725,1.2,5.218178,4.654725,4.95668,4.52643,0.01441172,6.540214,1.660130390966924,6.277092087867834,3.563149134565324e-06,1.516397291347308e-08,0.0,EB
1.24,0.775,1.2,5.218365,4.735751,4.955817,4.527826,0.01604544,6.54315,1.6639842067989217,6.846657451355534,3.5591066336092125e-06,2.1623052362159635e-08,0.0,EB
1.24,0.825,1.2,5.219022,4.818549,4.954466,4.525108,0.02069168,6.547135,1.6763133356910755,7.626303769176004,3.541220747307791e-06,3.0469897972245716e-08,0.0,EB
1.24,0.875,1.2,5.21981,4.899074,4.952923,4.518122,0.0243199,6.55349,1.6880044997525416,8.640671609542155,3.526720156643518e-06,4.1442982266336755e-08,0.0,EB
1.24,0.925,1.2,5.219751,4.980331,4.953564,4.506151,0.02406056,6.550781,1.685376755916223,10.025729894340639,3.5292059276841943e-06,5.468497274523173e-08,0.0,EB
1.24,0.975,1.2,5.22022,5.065066,4.951659,4.484091,0.02767408,6.555014,1.6992547789613774,12.23500074127048,3.5098374210064497e-06,6.758012644169865e-08,0.0,EB
1.24,0.775,1.3,5.220539,4.73479,4.952459,4.527451,0.02693508,6.556147,1.6967415694397292,6.850912172886382,3.515685355997921e-06,2.14904247876035e-08,0.0,EB
1.24,0.825,1.3,5.221173,4.818316,4.950789,4.524274,0.03061067,6.559656,1.7102460655660063,7.6536447458942165,3.4965359673634005e-06,3.030149109035557e-08,0.0,EB
1.24,0.875,1.3,5.222061,4.898341,4.948437,4.51782,0.03521384,6.566044,1.7297809104390038,8.645398173708037,3.470971118672215e-06,4.1239083031798536e-08,0.0,EB
1.24,0.925,1.3,5.222214,4.979829,4.947981,4.505366,0.03612355,6.566304,1.7331637621012208,10.056225421920786,3.467416408322406e-06,5.4290019794206653e-08,0.0,EB
1.24,0.975,1.3,5.222496,5.064521,4.946774,4.483481,0.03769552,6.568648,1.7504725307566995,12.261680623670578,3.4425875990777346e-06,6.710779976182823e-08,0.0,EB
1.24,0.775,1.4,5.222002,4.734701,4.947854,4.526768,0.03521029,6.567841,1.7323187258332253,6.871848875502719,3.467536170710615e-06,2.1408734682207537e-08,0.0,EB
1.24,0.825,1.4,5.222733,4.817706,4.946847,4.524006,0.03758412,6.570471,1.7452453919794717,7.657718543881774,3.4490302230051817e-06,3.017845485398601e-08,0.0,EB
1.24,0.875,1.4,5.223081,4.897912,4.94533,4.51774,0.0397803,6.573388,1.7566931183512626,8.644339198674519,3.4374073400284394e-06,4.1141393727852256e-08,0.0,EB
1.24,0.925,1.4,5.22331,4.979396,4.944317,4.505191,0.04239986,6.574378,1.7691896906424656,10.059328712827062,3.420605581192148e-06,5.412675610839447e-08,0.0,EB
1.24,0.975,1.4,5.223615,5.064069,4.941842,4.483437,0.04397409,6.577607,1.7845630642814563,12.257785010935327,3.399859734144407e-06,6.69608564837574e-08,0.0,EB
1.24,0.825,1.5,5.223936,4.816623,4.941378,4.524209,0.04524836,6.578831,1.7909971716089044,7.640959539358356,3.3943295110634197e-06,3.006678554893289e-08,0.0,EB
1.24,0.875,1.5,5.224402,4.897424,4.940247,4.517443,0.0478637,6.581384,1.800359770692859,8.651300552758604,3.3850649031815063e-06,4.0985949442270816e-08,0.0,EB
1.24,0.925,1.5,5.224595,4.979097,4.939002,4.504569,0.04823265,6.58365,1.8111428261920628,10.084677166148289,3.367766712545047e-06,5.3835530873667034e-08,0.0,EB
1.24,0.975,1.5,5.224907,5.063827,4.937955,4.48298,0.05000954,6.584691,1.8260059990267636,12.280215836167471,3.3548491732116803e-06,6.665319929443012e-08,0.0,EB
1.24,0.875,1.6,5.225597,4.896961,4.936378,4.517275,0.05269162,6.589744,1.8431789418630593,8.653380487880074,3.3365758341261937e-06,4.086100084599131e-08,0.0,EB
1.24,0.925,1.6,5.225729,4.978794,4.934882,4.504477,0.05420563,6.590265,1.8570320535395872,10.085443482563557,3.3198311835945575e-06,5.373435002698401e-08,0.0,EB
1.24,0.975,1.6,5.225881,5.063396,4.931591,4.482863,0.05825009,6.592244,1.882371331860091,12.280696541688462,3.2937755392598545e-06,6.646652904003838e-08,0.0,EB
1.24,0.925,1.7,5.22665,4.978608,4.928628,4.504116,0.06077461,6.597349,1.9042733957266547,10.100037819559645,3.271327315415874e-06,5.356214982802554e-08,0.0,EB
1.24,0.975,1.7,5.227179,5.063181,4.926311,4.48278,0.06394413,6.599641,1.9261353418403218,12.282365018597813,3.248112030045367e-06,6.636651304084431e-08,0.0,EB
1.24,0.975,1.8,5.227823,5.062949,4.920926,4.482773,0.0678398,6.606256,1.9749445201620732,12.279480675883692,3.2045496149082922e-06,6.63012932981308e-08,0.0,EB
1.24,0.975,1.9,5.228581,5.062931,4.917216,4.482292,0.07145226,6.61045,2.0098076733131576,12.306455907135815,3.1765522259470853e-06,6.604728959098011e-08,0.0,EB
1.22,0.725,1.0,5.17478,4.603574,4.910284,4.520055,0.05195017,6.123731,1.9672760282574504,6.094427289555567,2.8464791039741106e-06,1.1890469411001833e-08,0.0,EB
