log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.4,0.975,3.34,5.569361,5.377289,4.987959,3.622722,0.0808716,11.26794,2.089743581498658,926.149293996065,1.6441180602923757e-05,1.9182358355073894e-05,0.0,LB
1.4,0.575,3.36,5.562379,4.443982,5.010805,4.45476,0.05528055,11.26407,1.8285599356454192,6.85056829069758,1.797864677699261e-05,9.993531828653204e-09,0.0,LB
1.4,0.925,3.36,5.564356,5.206726,5.040029,4.306799,0.01045445,11.25594,1.6474521142233187,32.58577091476775,1.9729223832194008e-05,1.9533856816115547e-06,0.0,LB
1.4,0.975,3.36,5.570001,5.37803,4.462555,3.624409,0.2381629,11.30844,23.854152973539275,919.617019014238,1.181960600486544e-05,1.9113182208134158e-05,0.0,LB
1.4,0.675,3.38,5.568358,4.69834,4.698793,4.463586,0.1640587,11.2902,7.1405160554102975,8.815588303318433,1.2881872608106724e-05,3.222099889393458e-08,0.0,LB
1.4,0.725,3.38,5.565553,4.815409,4.84096,4.460022,0.1352724,11.28086,3.799333351545963,10.254417608623443,1.3819107650933723e-05,5.153769606496931e-08,0.0,LB
1.4,0.775,3.38,5.569766,4.922593,4.921303,4.449853,0.1130885,11.27448,2.7981494076464366,12.157408230344494,1.472465065953534e-05,7.414929053025283e-08,0.0,LB
1.4,0.825,3.38,5.566693,5.026554,4.982929,4.427033,0.08199979,11.26466,2.096254461824862,15.22123881804354,1.6418481955783606e-05,9.19062402257825e-08,0.0,LB
1.4,0.875,3.38,5.567433,5.118339,4.967129,4.378418,0.09194568,11.26844,2.247269719531035,21.162988697637303,1.58673718683338e-05,1.512164366900628e-06,0.0,LB
1.4,0.925,3.38,5.56826,5.20548,4.688179,4.303279,0.169012,11.28755,7.7441507768999545,33.06998515800919,1.2831605528881761e-05,1.9332899797564224e-06,0.0,LB
1.38,0.975,3.34,5.528424,5.326796,5.005204,3.577332,0.05492358,10.59717,1.8129824497234406,1076.737899964912,1.597338649290947e-05,1.8602186749793847e-05,0.0,LB
1.38,0.925,3.36,5.527653,5.160989,5.011066,4.314656,0.04864689,10.59631,1.7640398837027438,29.81329655034127,1.6287446418271146e-05,1.6440499187132406e-06,0.0,LB
1.38,0.975,3.36,5.531575,5.327437,4.871831,3.579968,0.1184298,10.61083,3.265750484858829,1064.8489328571181,1.271475511145809e-05,1.846673002279893e-05,0.0,LB
1.38,0.775,3.38,5.524477,4.875207,5.027383,4.449913,0.02270415,10.59261,1.6346195922958564,11.508692862180945,1.734434885044066e-05,6.094190137527305e-08,0.0,LB
