log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case
1.38,0.875,3.44,5.532481,5.080627,4.409835,4.391997,0.2728629,10.65261,28.545654168702956,19.036232480845353,1.0198187676629134e-05,1.3180017897544818e-06,0.0,LB
1.38,0.925,3.44,5.53273,5.159564,4.128089,4.311771,0.3601121,10.66867,109.10810174108829,30.162129483109695,9.745048390199112e-06,1.6280734723114204e-06,0.0,LB
1.36,0.975,3.34,5.495641,5.303296,5.022537,3.539408,0.02951382,9.955315,1.649697818094321,1247.7885611341624,1.5206245578651342e-05,1.9566583473530175e-05,0.0,LB
1.36,0.975,3.36,5.499004,5.299436,4.685638,3.541786,0.1509596,9.979783,7.304034232843805,1228.8277209911125,1.0223273982739408e-05,1.9087409898663252e-05,0.0,LB
1.36,0.925,3.38,5.498746,5.143053,4.634304,4.366934,0.1550085,9.982705,8.530570961524637,22.956834324136345,1.0129593091882004e-05,1.630339309300926e-06,0.0,LB
1.36,0.975,3.38,5.495785,5.275178,4.441695,3.538107,0.2344347,10.01102,24.15766753041686,1215.368566927348,9.209074789236759e-06,1.753779543270149e-05,0.0,LB
1.36,0.475,3.4,5.494371,4.127177,4.402375,4.431555,0.2633902,10.01648,28.43472287684136,5.293403497604815,9.043863523538102e-06,2.0283084502582407e-09,0.0,LB
1.36,0.525,3.4,5.498554,4.333232,4.943503,4.457698,0.08758997,9.965695,2.362980294749388,5.949453849385058,1.244027554969408e-05,6.182028458874982e-09,0.0,LB
1.36,0.875,3.4,5.500011,5.07396,4.894904,4.424383,0.1037291,9.967608,2.9681674626898764,16.272751784375572,1.1631882326141187e-05,1.0515840735311016e-07,0.0,LB
1.36,0.925,3.4,5.495793,5.134031,4.430205,4.353804,0.246276,10.01051,25.293737085895188,24.13559446194053,9.154571057377391e-06,1.549130483531355e-06,0.0,LB
1.36,0.975,3.4,5.494292,5.269974,4.130306,3.540981,0.3409604,10.03007,103.09295780535452,1192.6225041717669,8.641079484742204e-06,1.6987559856455187e-05,0.0,LB
1.36,0.575,3.42,5.489925,4.369573,4.085023,4.450113,0.3824273,10.03363,120.63574205802009,6.424156317711358,8.457013035380993e-06,6.935168222889294e-09,0.0,LB
1.36,0.625,3.42,5.493423,4.511409,4.147228,4.461864,0.3266954,10.02918,95.92747209880622,7.165265709973099,8.701577649181752e-06,1.4067146164074254e-08,0.0,LB
1.36,0.675,3.42,5.49519,4.637924,4.25736,4.466701,0.2971474,10.02555,46.57683779690311,8.10614373097889,8.844697824397236e-06,2.5174914253014907e-08,0.0,LB
1.36,0.725,3.42,5.493286,4.752524,4.351979,4.465801,0.2827516,10.02075,34.40424248804022,9.28780096457482,8.933013699189875e-06,4.076561513311771e-08,0.0,LB
1.36,0.775,3.42,5.494201,4.85579,4.358436,4.45857,0.2808974,10.01917,33.1529363627031,10.814464018380857,8.945178267543907e-06,5.9546741345226255e-08,0.0,LB
1.36,0.825,3.42,5.494138,4.955618,4.365892,4.44266,0.2787224,10.02061,32.78332506487762,13.053651081208699,8.955152789090607e-06,7.863990858888567e-08,0.0,LB
1.36,0.875,3.42,5.494584,5.051966,4.363888,4.409459,0.2790736,10.02184,32.74424642190552,16.99424989010024,8.952555045778866e-06,1.1881355759178382e-06,0.0,LB
1.36,0.925,3.42,5.494666,5.125677,4.129392,4.341031,0.3422493,10.03085,103.1796380375336,25.35286243830873,8.633084663507835e-06,1.476257102213944e-06,0.0,LB
1.36,0.975,3.42,5.487224,5.274996,3.935539,3.548122,0.4441256,10.0404,243.42489984959983,1160.9031777635357,8.914705485663674e-06,1.6869530663060143e-05,0.0,LB
1.36,0.675,3.44,5.490087,4.587898,3.874706,4.455412,0.5843838,10.04027,331.98082510923797,8.06081028599982,1.14722076700725e-05,1.8895352575807195e-08,0.0,LB
1.36,0.725,3.44,5.489494,4.716391,3.925975,4.456504,0.4585218,10.038,253.59343127128975,9.29905679027756,9.236873586078186e-06,3.2991115483547195e-08,0.0,LB
1.36,0.775,3.44,5.49266,4.830476,4.027084,4.450613,0.4178221,10.03864,149.74902381892275,10.895897271984314,8.310860641162785e-06,5.078950731926008e-08,0.0,LB
1.36,0.825,3.44,5.491561,4.937748,4.044792,4.435087,0.4125693,10.03632,142.62182847661012,13.241646812778777,8.33026850481793e-06,6.88812468700177e-08,0.0,LB
1.36,0.875,3.44,5.493018,5.036751,4.056287,4.398874,0.4034256,10.03839,136.9386367281791,17.533636552462326,8.363209960607886e-06,1.1132328159194008e-06,0.0,LB
1.36,0.925,3.44,5.486052,5.113598,3.884984,4.321752,0.5111643,10.04092,319.33241101439734,27.327002718591746,1.1166601041169105e-05,1.3744659961324675e-06,0.0,LB
1.36,0.975,3.44,5.492416,5.276494,3.87448,3.553019,0.5825274,10.0405,330.64731469984275,1138.2849662490096,1.1413241319323127e-05,1.667884604802183e-05,0.0,LB
1.36,0.875,3.46,5.482872,5.019397,3.865867,4.385954,0.6914059,10.03839,345.91946452791683,18.240384968609884,1.1872413114983534e-05,1.0317013527930073e-06,0.0,LB
1.34,0.975,3.34,5.460376,5.252145,4.514465,3.520745,0.1678657,9.375238,16.260204376766534,1281.955647718431,8.68604350013742e-06,1.707206281390814e-05,0.0,LB
1.34,0.975,3.36,5.456796,5.246815,4.414434,3.521869,0.2496595,9.405295,26.08314766137416,1267.6781360166517,8.074525306447154e-06,1.6637420758146993e-05,0.0,LB
1.34,0.925,3.38,5.459283,5.121233,4.477715,4.396302,0.1967802,9.381301,19.529809182454756,19.555548424202858,8.447924035657961e-06,1.539426647737542e-06,0.0,LB
1.34,0.975,3.38,5.45427,5.242233,4.081315,3.524818,0.3719266,9.426953,117.62943201707148,1244.2080302553327,7.506076736484807e-06,1.61490135896065e-05,0.0,LB
1.34,0.425,3.4,5.460227,4.06685,4.517678,4.435995,0.1678935,9.37019,15.757851375682257,4.838283362676204,8.724127419418614e-06,1.6112836490752226e-09,0.0,LB
1.34,0.875,3.4,5.461267,5.050933,4.793004,4.436575,0.1265784,9.351098,4.622224125335651,14.981869161341235,9.496181354097423e-06,1.0679944602810059e-07,0.0,LB
1.34,0.925,3.4,5.458347,5.098716,4.116849,4.370241,0.3425819,9.423577,102.03871951364306,21.484190766970567,7.638709603254346e-06,1.3686077659400099e-06,0.0,LB
1.34,0.975,3.4,5.454989,5.223962,4.079232,3.52411,0.3685768,9.434674,118.42052987239148,1222.3540055272347,7.49616262923592e-06,1.50318696122314e-05,0.0,LB
1.34,0.525,3.42,5.45925,4.270866,4.152013,4.449451,0.3210964,9.41525,84.90768499134292,5.751589735737168,7.774044101170687e-06,4.423061723914079e-09,0.0,LB
1.34,0.575,3.42,5.458688,4.415184,4.341465,4.463642,0.2860931,9.403581,35.12562010643587,6.361574243063944,7.951334062050724e-06,9.247599226905306e-09,0.0,LB
1.34,0.625,3.42,5.457492,4.551196,4.454863,4.475598,0.2228428,9.384602,21.75279164202712,7.041393256261796,8.280870633440124e-06,1.808764393079464e-08,0.0,LB
1.34,0.775,3.42,5.46031,4.863607,4.811196,4.473554,0.1224216,9.35149,4.168803262143558,10.184788153946192,9.628818489411318e-06,6.738077471439605e-08,0.0,LB
1.34,0.825,3.42,5.455875,4.948409,4.433137,4.458215,0.2428763,9.389635,24.027024985383324,12.051080846739286,8.168418871424312e-06,8.543169046973056e-08,0.0,LB
1.34,0.875,3.42,5.456317,5.035913,4.392349,4.42942,0.2680028,9.39863,28.542105034277533,15.218295054141583,8.039869509100377e-06,9.452180361136376e-08,0.0,LB
1.34,0.925,3.42,5.453943,5.085614,4.086798,4.353932,0.3654437,9.431998,114.91057557777972,22.813504257578344,7.522998929146616e-06,1.2768356501984142e-06,0.0,LB
1.34,0.975,3.42,5.486671,5.220362,3.821653,3.530371,0.720336,9.437054,420.108046658438,1183.2785721495213,1.226693319109881e-05,1.4477780902282266e-05,0.0,LB
1.34,0.625,3.44,5.448749,4.433214,3.867641,4.451191,0.5580866,9.42765,326.61791340856325,6.878288694320948,9.993255700979068e-06,9.281496388063873e-09,0.0,LB
1.34,0.675,3.44,5.453237,4.570782,4.046156,4.459147,0.4082687,9.42489,137.2688514856443,7.7687599103289635,7.391966669917658e-06,1.790997584001291e-08,0.0,LB
1.34,0.725,3.44,5.455949,4.690534,4.078607,4.459711,0.3810005,9.425689,118.81519907308208,8.894011773230662,7.501359856319798e-06,3.0062216628187365e-08,0.0,LB
1.34,0.775,3.44,5.456968,4.802476,4.104925,4.455279,0.3593837,9.423291,106.88284369438037,10.325973353451534,7.6022124123889215e-06,4.6563862701481666e-08,0.0,LB
1.34,0.825,3.44,5.454004,4.90429,4.106382,4.441481,0.3580073,9.422281,107.1097486078201,12.371717653355569,7.6075532335651665e-06,6.314006141711602e-08,0.0,LB
1.34,0.875,3.44,5.458173,5.004338,4.103187,4.411043,0.3593385,9.424536,107.53479214730652,15.970664998735401,7.595073831782948e-06,9.83134643606592e-07,0.0,LB
1.34,0.925,3.44,5.483713,5.069311,3.809421,4.332496,0.7415869,9.436074,429.1894125087339,24.71268878535385,1.2502763033038714e-05,1.1688478975600494e-06,0.0,LB
1.34,0.975,3.44,5.460618,5.224801,3.756669,3.535115,0.9352474,9.437552,543.3266405384225,1163.6543571241805,1.5064856528951806e-05,1.4492356207030702e-05,0.0,LB
1.34,0.775,3.46,5.460341,4.76364,3.755086,4.44362,0.9326899,9.426531,533.5498473638852,10.419095050595894,1.5017892801972763e-05,3.642805637451113e-08,0.0,LB
1.34,0.825,3.46,5.461082,4.873418,3.773011,4.42953,0.8485514,9.429777,493.30441233120746,12.615341167184052,1.398759341672917e-05,5.0519960229894965e-08,0.0,LB
1.34,0.875,3.46,5.465394,4.976819,3.78259,4.393758,0.8100398,9.428654,475.4556361697725,16.754944747190205,1.3590079584494033e-05,8.745587715887771e-07,0.0,LB
