log10(M_1i)(Msun),q_i(M_2i/M_1i),log10(P_i)(days),logL_1,logL_2,logT_1,logT_2,M_env_1,He_core_1,R_1(Rsun),R_2(Rsun),Mdot_w_1,Mdot_w_2,Mdot_rlo_2,case,"wfpc2,2,f450w,a2d7,cont#50180",Z,eps,"wfpc2,2,f606w,a2d7,cont#50180","wfpc2,2,f814w,a2d7,cont#50180"
1.26,0.675,2.4,5.269572,4.346579,4.978867,4.470927,0.02125636,7.042905,1.571813447433965,5.684502999753419,4.133795612743291e-06,3.058778296499669e-09,0.0,EB,18.09142911343058 VEGAMAG,0.005,0.1,16.95945779480887 VEGAMAG,19.074920743117335 VEGAMAG
1.26,0.725,2.4,5.26727,4.462521,4.97817,4.475041,0.01656881,7.037186,1.5613450833217368,6.374333769037639,4.150964316406792e-06,5.2243708789707495e-09,0.0,EB,18.1081066217022 VEGAMAG,0.005,0.1,16.97668919240415 VEGAMAG,19.09005982857334 VEGAMAG
1.26,0.775,2.4,5.269404,4.575949,4.97858,4.47424,0.02208782,7.041928,1.5756857231096588,7.290357071908937,4.12831663919215e-06,8.49462086404637e-09,0.0,EB,18.086980665372057 VEGAMAG,0.005,0.1,16.95523912024963 VEGAMAG,19.069889746218465 VEGAMAG
1.26,0.825,2.4,5.268317,4.684562,4.979746,4.468271,0.01670058,7.037037,1.5611912193432442,8.491656148080352,4.151929781471453e-06,1.2949589453274736e-08,0.0,EB,18.10342540212085 VEGAMAG,0.005,0.1,16.970692976919 VEGAMAG,19.088220137873577 VEGAMAG
1.26,0.875,2.4,5.268052,4.794304,4.981042,4.450918,0.01331451,7.035368,1.5533263160048438,10.436791320301214,4.165546626006161e-06,1.7880184671633028e-08,0.0,EB,18.110405025335634 VEGAMAG,0.005,0.1,16.976499018184658 VEGAMAG,19.09638182120026 VEGAMAG
1.26,0.925,2.4,5.268099,4.904834,4.980933,4.417879,0.01392244,7.03452,1.5548410568081188,13.800855224247316,4.162871449760494e-06,2.0617974587358713e-08,0.0,EB,18.108620521357864 VEGAMAG,0.005,0.1,16.974809238942598 VEGAMAG,19.09447595487727 VEGAMAG
1.26,0.475,2.5,5.267442,3.825639,4.981415,4.424137,0.0112308,7.031481,1.5478151741824633,3.8708282326309007,4.173053955899746e-06,2.100627274230928e-10,0.0,EB,18.116947694985846 VEGAMAG,0.005,0.1,16.982757600101067 VEGAMAG,19.103472549167716 VEGAMAG
1.26,0.525,2.5,5.268763,3.968698,4.980435,4.439528,0.0167168,7.037804,1.5613159630409954,4.25158239448046,4.152905033498052e-06,4.5360621883366816e-10,0.0,EB,18.101124615112354 VEGAMAG,0.005,0.1,16.96775487133967 VEGAMAG,19.086524197779955 VEGAMAG
1.26,0.575,2.5,5.268279,4.102419,4.980931,4.452501,0.01437911,7.035769,1.5555808925525232,4.671595161981446,4.162468883865338e-06,9.109111120666318e-10,0.0,EB,18.107593563750235 VEGAMAG,0.005,0.1,16.97378406312029 VEGAMAG,19.093446943943416 VEGAMAG
1.26,0.625,2.5,5.268067,4.228028,4.981018,4.463024,0.01343811,7.035334,1.5522744171909768,5.14308497649188,4.166841683230652e-06,1.717105581858339e-09,0.0,EB,18.11195098102477 VEGAMAG,0.005,0.1,16.978064035503944 VEGAMAG,19.097895034504322 VEGAMAG
